Date,Open,High,Low,Close,Adj Close,Volume
2019-02-25,127.129997,128.270004,126.769997,128.039993,126.977348,441900
2019-02-26,128.070007,129.727997,128.029999,129.050003,127.978981,275300
2019-02-27,128.589996,129.110001,127.719002,128.669998,127.602127,271600
2019-02-28,128.130005,128.860001,128.029999,128.259995,127.195526,261600
2019-03-01,130.289993,131.919998,129.919998,131.800003,130.706161,452000
2019-03-04,131.800003,132.160004,130.029999,130.800003,129.714462,412000
2019-03-05,130.509995,131.850006,130.388000,131.759995,130.666473,239500
2019-03-06,130.440002,130.606995,129.272003,130.110001,129.030182,272900
2019-03-07,128.490005,129.059998,127.250000,128.320007,127.255043,463000
2019-03-08,127.010002,128.990005,126.820000,128.880005,127.810394,250800
2019-03-11,128.720001,130.880005,128.529999,130.759995,129.674774,328900
2019-03-12,130.229996,130.710007,129.820007,130.190002,129.109512,170300
2019-03-13,130.729996,130.880005,129.080002,130.050003,128.970673,440500
2019-03-14,130.660004,131.250000,129.860001,131.190002,130.101212,261200
2019-03-15,132.000000,132.199997,131.619995,131.779999,130.686325,252900
2019-03-18,131.660004,132.455002,131.449997,132.279999,131.182175,221100
2019-03-19,132.429993,132.699997,131.460007,131.610001,130.517731,213000
2019-03-20,132.889999,132.889999,131.000000,131.750000,130.656570,306500
2019-03-21,131.880005,132.617996,131.589996,132.389999,131.291260,167500
2019-03-22,131.050003,131.339996,128.500000,128.649994,127.582291,411900
2019-03-25,129.919998,131.289993,129.179993,131.119995,130.031799,232900
2019-03-26,132.000000,133.339996,131.764999,132.960007,131.856537,305500
2019-03-27,133.889999,134.529999,132.240005,132.779999,131.678024,386100
2019-03-28,132.970001,133.639999,132.225006,133.050003,131.945786,354900
2019-03-29,133.789993,134.740005,133.210007,133.800003,132.689560,344200
2019-04-01,135.740005,136.669998,134.699997,135.050003,133.929184,554200
2019-04-02,135.169998,136.330002,134.830002,135.970001,134.841553,282000
2019-04-03,136.649994,137.259995,136.000000,136.179993,135.049789,243000
2019-04-04,136.809998,136.949997,135.759995,136.470001,135.337402,347300
2019-04-05,137.490005,138.000000,136.509995,136.940002,135.803497,255400
2019-04-08,137.119995,137.350006,136.380005,137.130005,135.991928,516600
2019-04-09,136.279999,136.824997,135.789993,136.440002,135.307648,184800
2019-04-10,135.809998,137.130005,135.589996,136.509995,135.377060,207500
2019-04-11,136.910004,137.360001,136.490005,137.259995,136.120834,189100
2019-04-12,138.860001,139.070007,138.179993,138.570007,137.419968,292200
2019-04-15,138.000000,138.000000,136.009995,137.029999,135.892746,270400
2019-04-16,136.050003,138.350006,135.960007,138.089996,136.943954,325100
2019-04-17,136.889999,138.240005,136.500000,137.690002,136.547272,484100
2019-04-18,137.339996,140.320007,137.240005,139.910004,138.748856,534900
