Date,Open,High,Low,Close,Adj Close,Volume
2018-12-10,71.000000,71.290001,69.639999,70.099998,66.584961,2409172
2018-12-11,70.099998,72.800003,70.059998,71.379997,67.800774,2764437
2018-12-12,71.959999,73.209999,71.440002,72.769997,69.121071,2218925
2018-12-13,73.239998,74.830002,73.230003,74.180000,70.460373,2262635
2018-12-14,73.000000,74.750000,72.370003,74.269997,70.545860,2051889
2018-12-17,74.300003,74.949997,73.239998,74.000000,70.289398,1394876
2018-12-18,73.599998,75.070000,73.139999,73.470001,69.785980,1950796
2018-12-19,73.739998,74.300003,73.410004,73.449997,69.766975,1582367
2018-12-20,72.739998,72.900002,71.650002,71.839996,68.237709,2950979
2018-12-21,71.419998,72.040001,70.230003,71.930000,68.323196,4978117
2018-12-27,71.779999,72.160004,69.120003,69.860001,66.356995,1828170
2018-12-28,70.349998,70.760002,70.209999,70.699997,67.154869,1031948
2019-01-02,70.629997,70.660004,68.790001,69.739998,66.243011,1429230
2019-01-03,69.220001,69.809998,69.019997,69.050003,65.587608,1426463
2019-01-04,69.800003,71.769997,69.639999,71.709999,68.114227,1857639
2019-01-07,71.750000,72.320000,71.269997,72.120003,68.503670,1238553
2019-01-08,71.849998,73.680000,71.279999,72.209999,68.589157,1865750
2019-01-09,73.080002,73.779999,72.320000,72.949997,69.292046,1921526
2019-01-10,72.400002,72.889999,71.870003,72.529999,68.893112,1569810
2019-01-11,72.400002,72.839996,70.629997,71.830002,68.228210,2009338
2019-01-14,71.029999,72.300003,71.029999,71.589996,68.000244,1360714
2019-01-15,72.099998,73.230003,71.129997,71.620003,68.028740,1446376
2019-01-16,71.650002,71.809998,71.050003,71.529999,67.943253,1296314
2019-01-17,70.889999,71.430000,70.190002,71.260002,67.686798,1319472
2019-01-18,71.860001,73.620003,71.750000,73.339996,69.662491,2590438
2019-01-21,73.500000,73.589996,72.709999,73.029999,69.368034,739929
2019-01-22,72.480003,72.949997,72.300003,72.730003,69.083084,1068277
2019-01-23,72.000000,72.589996,71.620003,72.230003,68.608154,1380855
2019-01-24,72.150002,73.120003,71.900002,73.120003,69.453529,1419799
2019-01-25,73.500000,74.750000,73.500000,74.349998,70.621849,2173838
2019-01-28,74.309998,74.470001,73.570000,73.980003,70.270409,1335145
2019-01-29,73.550003,74.449997,73.010002,73.849998,70.146919,1115739
2019-01-30,73.900002,74.139999,73.089996,73.330002,69.653000,1187607
2019-01-31,74.209999,74.620003,72.360001,73.459999,69.776474,1648320
2019-02-01,73.750000,74.470001,73.279999,74.139999,70.422379,1529328
2019-02-04,73.989998,74.250000,72.860001,73.239998,69.567505,1527571
2019-02-05,73.610001,73.730003,73.000000,73.610001,69.918953,1579217
2019-02-06,73.389999,73.790001,72.889999,73.650002,69.956955,1290915
2019-02-07,73.199997,73.419998,71.220001,71.220001,67.648796,2602996
2019-02-08,70.690002,70.879997,69.010002,69.529999,66.043541,2549287
2019-02-11,69.610001,69.989998,68.570000,69.410004,65.929558,1964372
2019-02-12,69.949997,70.360001,69.169998,69.910004,66.404488,1725806
2019-02-13,70.500000,70.620003,69.680000,70.389999,66.860420,1785637
2019-02-14,71.000000,71.110001,69.339996,69.349998,65.872566,1847105
2019-02-15,69.099998,71.160004,68.110001,70.769997,67.221359,2744797
2019-02-18,70.199997,71.019997,69.959999,70.589996,67.050385,1095834
2019-02-19,70.239998,71.199997,70.089996,71.040001,67.477821,1136405
2019-02-20,71.110001,73.250000,71.110001,72.510002,68.874115,2063029
2019-02-21,72.550003,73.400002,72.470001,73.120003,69.453529,1637768
2019-02-22,72.970001,73.750000,72.809998,73.129997,69.463020,1312550
2019-02-25,73.790001,74.440002,73.400002,73.699997,70.004440,1786026
2019-02-26,73.239998,74.239998,72.910004,74.000000,70.289398,1437733
2019-02-27,73.690002,74.430000,73.500000,74.239998,70.517365,1158100
2019-02-28,73.879997,74.449997,73.589996,74.309998,70.583855,1118481
2019-03-01,74.900002,75.540001,74.629997,74.750000,71.001793,1458575
